text,intent,user_type
Show me restaurants,admin_list_restaurants,admin
Show all food items,admin_list_foods,admin
List food items,admin_list_foods,admin
Display menu,admin_list_foods,admin
What food items do we have?,admin_list_foods,admin
Show food list,admin_list_foods,admin
Get all food items,admin_list_foods,admin
View food menu,admin_list_foods,admin
Food list please,admin_list_foods,admin
Can you show food items?,admin_list_foods,admin
I want to see all foods,admin_list_foods,admin
Show me the food menu,admin_list_foods,admin
Display all foods,admin_list_foods,admin
List all food items,admin_list_foods,admin
What food is available?,admin_list_foods,admin
Show available food,admin_list_foods,admin
Food menu,admin_list_foods,admin
Show food database,admin_list_foods,admin
View all food items,admin_list_foods,admin
Display food list,admin_list_foods,admin
Show me food items,admin_list_foods,admin
Show all food items,admin_list_foods,admin
List food items,admin_list_foods,admin
Display menu,admin_list_foods,admin
What food items do we have?,admin_list_foods,admin
Show food list,admin_list_foods,admin
Get all food items,admin_list_foods,admin
View food menu,admin_list_foods,admin
Food list please,admin_list_foods,admin
Can you show food items?,admin_list_foods,admin
I want to see all foods,admin_list_foods,admin
Show me the food menu,admin_list_foods,admin
Display all foods,admin_list_foods,admin
List all food items,admin_list_foods,admin
What food is available?,admin_list_foods,admin
Show available food,admin_list_foods,admin
Food menu,admin_list_foods,admin
Show food database,admin_list_foods,admin
View all food items,admin_list_foods,admin
Display food list,admin_list_foods,admin
Show me food items,admin_list_foods,admin
Show all food items,admin_list_foods,admin
List food items,admin_list_foods,admin
Display menu,admin_list_foods,admin
What food items do we have?,admin_list_foods,admin
Show food list,admin_list_foods,admin
Get all food items,admin_list_foods,admin
View food menu,admin_list_foods,admin
Food list please,admin_list_foods,admin
Can you show food items?,admin_list_foods,admin
I want to see all foods,admin_list_foods,admin
Show me the food menu,admin_list_foods,admin
Display all foods,admin_list_foods,admin
List all food items,admin_list_foods,admin
What food is available?,admin_list_foods,admin
Show available food,admin_list_foods,admin
Food menu,admin_list_foods,admin
Show food database,admin_list_foods,admin
View all food items,admin_list_foods,admin
Display food list,admin_list_foods,admin
Show me food items,admin_list_foods,admin
Show all food items,admin_list_foods,admin
List food items,admin_list_foods,admin
Display menu,admin_list_foods,admin
What food items do we have?,admin_list_foods,admin
Show food list,admin_list_foods,admin
Get all food items,admin_list_foods,admin
View food menu,admin_list_foods,admin
Food list please,admin_list_foods,admin
Can you show food items?,admin_list_foods,admin
I want to see all foods,admin_list_foods,admin
Show me the food menu,admin_list_foods,admin
Display all foods,admin_list_foods,admin
List all food items,admin_list_foods,admin
What food is available?,admin_list_foods,admin
Show available food,admin_list_foods,admin
Food menu,admin_list_foods,admin
Show food database,admin_list_foods,admin
View all food items,admin_list_foods,admin
Display food list,admin_list_foods,admin
Show me food items,admin_list_foods,admin
Show all food items,admin_list_foods,admin
List food items,admin_list_foods,admin
Display menu,admin_list_foods,admin
What food items do we have?,admin_list_foods,admin
Show food list,admin_list_foods,admin
Get all food items,admin_list_foods,admin
View food menu,admin_list_foods,admin
Food list please,admin_list_foods,admin
Can you show food items?,admin_list_foods,admin
I want to see all foods,admin_list_foods,admin
Show me the food menu,admin_list_foods,admin
Display all foods,admin_list_foods,admin
List all food items,admin_list_foods,admin
What food is available?,admin_list_foods,admin
Show available food,admin_list_foods,admin
Food menu,admin_list_foods,admin
Show food database,admin_list_foods,admin
View all food items,admin_list_foods,admin
Display food list,admin_list_foods,admin
Show me food items,admin_list_foods,admin
Show all orders,admin_list_orders,admin
List orders,admin_list_orders,admin
Display orders,admin_list_orders,admin
What orders do we have?,admin_list_orders,admin
Show order list,admin_list_orders,admin
Get all orders,admin_list_orders,admin
View orders,admin_list_orders,admin
Order list please,admin_list_orders,admin
Can you show orders?,admin_list_orders,admin
I want to see all orders,admin_list_orders,admin
Show me the orders,admin_list_orders,admin
Display all orders,admin_list_orders,admin
List all orders,admin_list_orders,admin
What orders are pending?,admin_list_orders,admin
Show recent orders,admin_list_orders,admin
Orders database,admin_list_orders,admin
Show order database,admin_list_orders,admin
View all orders,admin_list_orders,admin
Display order list,admin_list_orders,admin
Show me orders,admin_list_orders,admin
Show all orders,admin_list_orders,admin
List orders,admin_list_orders,admin
Display orders,admin_list_orders,admin
What orders do we have?,admin_list_orders,admin
Show order list,admin_list_orders,admin
Get all orders,admin_list_orders,admin
View orders,admin_list_orders,admin
Order list please,admin_list_orders,admin
Can you show orders?,admin_list_orders,admin
I want to see all orders,admin_list_orders,admin
Show me the orders,admin_list_orders,admin
Display all orders,admin_list_orders,admin
List all orders,admin_list_orders,admin
What orders are pending?,admin_list_orders,admin
Show recent orders,admin_list_orders,admin
Orders database,admin_list_orders,admin
Show order database,admin_list_orders,admin
View all orders,admin_list_orders,admin
Display order list,admin_list_orders,admin
Show me orders,admin_list_orders,admin
Show all orders,admin_list_orders,admin
List orders,admin_list_orders,admin
Display orders,admin_list_orders,admin
What orders do we have?,admin_list_orders,admin
Show order list,admin_list_orders,admin
Get all orders,admin_list_orders,admin
View orders,admin_list_orders,admin
Order list please,admin_list_orders,admin
Can you show orders?,admin_list_orders,admin
I want to see all orders,admin_list_orders,admin
Show me the orders,admin_list_orders,admin
Display all orders,admin_list_orders,admin
List all orders,admin_list_orders,admin
What orders are pending?,admin_list_orders,admin
Show recent orders,admin_list_orders,admin
Orders database,admin_list_orders,admin
Show order database,admin_list_orders,admin
View all orders,admin_list_orders,admin
Display order list,admin_list_orders,admin
Show me orders,admin_list_orders,admin
Show all orders,admin_list_orders,admin
List orders,admin_list_orders,admin
Display orders,admin_list_orders,admin
What orders do we have?,admin_list_orders,admin
Show order list,admin_list_orders,admin
Get all orders,admin_list_orders,admin
View orders,admin_list_orders,admin
Order list please,admin_list_orders,admin
Can you show orders?,admin_list_orders,admin
I want to see all orders,admin_list_orders,admin
Show me the orders,admin_list_orders,admin
Display all orders,admin_list_orders,admin
List all orders,admin_list_orders,admin
What orders are pending?,admin_list_orders,admin
Show recent orders,admin_list_orders,admin
Orders database,admin_list_orders,admin
Show order database,admin_list_orders,admin
View all orders,admin_list_orders,admin
Display order list,admin_list_orders,admin
Show me orders,admin_list_orders,admin
Show all orders,admin_list_orders,admin
List orders,admin_list_orders,admin
Display orders,admin_list_orders,admin
What orders do we have?,admin_list_orders,admin
Show order list,admin_list_orders,admin
Get all orders,admin_list_orders,admin
View orders,admin_list_orders,admin
Order list please,admin_list_orders,admin
Can you show orders?,admin_list_orders,admin
I want to see all orders,admin_list_orders,admin
Show me the orders,admin_list_orders,admin
Display all orders,admin_list_orders,admin
List all orders,admin_list_orders,admin
What orders are pending?,admin_list_orders,admin
Show recent orders,admin_list_orders,admin
Orders database,admin_list_orders,admin
Show order database,admin_list_orders,admin
View all orders,admin_list_orders,admin
Display order list,admin_list_orders,admin
Show me orders,admin_list_orders,admin
Add new restaurant,admin_add_restaurant,admin
Create restaurant,admin_add_restaurant,admin
New restaurant,admin_add_restaurant,admin
Add a restaurant,admin_add_restaurant,admin
Create new restaurant,admin_add_restaurant,admin
Register restaurant,admin_add_restaurant,admin
Add restaurant to system,admin_add_restaurant,admin
Create a restaurant,admin_add_restaurant,admin
Add new food place,admin_add_restaurant,admin
Register new restaurant,admin_add_restaurant,admin
Add restaurant entry,admin_add_restaurant,admin
Create restaurant entry,admin_add_restaurant,admin
Add dining place,admin_add_restaurant,admin
Register food outlet,admin_add_restaurant,admin
Add new outlet,admin_add_restaurant,admin
Create food establishment,admin_add_restaurant,admin
Add restaurant profile,admin_add_restaurant,admin
Register restaurant profile,admin_add_restaurant,admin
Add new restaurant entry,admin_add_restaurant,admin
Add new restaurant,admin_add_restaurant,admin
Create restaurant,admin_add_restaurant,admin
New restaurant,admin_add_restaurant,admin
Add a restaurant,admin_add_restaurant,admin
Create new restaurant,admin_add_restaurant,admin
Register restaurant,admin_add_restaurant,admin
Add restaurant to system,admin_add_restaurant,admin
Create a restaurant,admin_add_restaurant,admin
Add new food place,admin_add_restaurant,admin
Register new restaurant,admin_add_restaurant,admin
Add restaurant entry,admin_add_restaurant,admin
Create restaurant entry,admin_add_restaurant,admin
Add dining place,admin_add_restaurant,admin
Register food outlet,admin_add_restaurant,admin
Add new outlet,admin_add_restaurant,admin
Create food establishment,admin_add_restaurant,admin
Add restaurant profile,admin_add_restaurant,admin
Register restaurant profile,admin_add_restaurant,admin
Add new restaurant entry,admin_add_restaurant,admin
Add new restaurant,admin_add_restaurant,admin
Create restaurant,admin_add_restaurant,admin
New restaurant,admin_add_restaurant,admin
Add a restaurant,admin_add_restaurant,admin
Create new restaurant,admin_add_restaurant,admin
Register restaurant,admin_add_restaurant,admin
Add restaurant to system,admin_add_restaurant,admin
Create a restaurant,admin_add_restaurant,admin
Add new food place,admin_add_restaurant,admin
Register new restaurant,admin_add_restaurant,admin
Add restaurant entry,admin_add_restaurant,admin
Create restaurant entry,admin_add_restaurant,admin
Add dining place,admin_add_restaurant,admin
Register food outlet,admin_add_restaurant,admin
Add new outlet,admin_add_restaurant,admin
Create food establishment,admin_add_restaurant,admin
Add restaurant profile,admin_add_restaurant,admin
Register restaurant profile,admin_add_restaurant,admin
Add new restaurant entry,admin_add_restaurant,admin
Add new restaurant,admin_add_restaurant,admin
Create restaurant,admin_add_restaurant,admin
New restaurant,admin_add_restaurant,admin
Add a restaurant,admin_add_restaurant,admin
Create new restaurant,admin_add_restaurant,admin
Register restaurant,admin_add_restaurant,admin
Add restaurant to system,admin_add_restaurant,admin
Create a restaurant,admin_add_restaurant,admin
Add new food place,admin_add_restaurant,admin
Register new restaurant,admin_add_restaurant,admin
Add restaurant entry,admin_add_restaurant,admin
Create restaurant entry,admin_add_restaurant,admin
Add dining place,admin_add_restaurant,admin
Register food outlet,admin_add_restaurant,admin
Add new outlet,admin_add_restaurant,admin
Create food establishment,admin_add_restaurant,admin
Add restaurant profile,admin_add_restaurant,admin
Register restaurant profile,admin_add_restaurant,admin
Add new restaurant entry,admin_add_restaurant,admin
Add new restaurant,admin_add_restaurant,admin
Create restaurant,admin_add_restaurant,admin
New restaurant,admin_add_restaurant,admin
Add a restaurant,admin_add_restaurant,admin
Create new restaurant,admin_add_restaurant,admin
Register restaurant,admin_add_restaurant,admin
Add restaurant to system,admin_add_restaurant,admin
Create a restaurant,admin_add_restaurant,admin
Add new food place,admin_add_restaurant,admin
Register new restaurant,admin_add_restaurant,admin
Add restaurant entry,admin_add_restaurant,admin
Create restaurant entry,admin_add_restaurant,admin
Add dining place,admin_add_restaurant,admin
Register food outlet,admin_add_restaurant,admin
Add new outlet,admin_add_restaurant,admin
Create food establishment,admin_add_restaurant,admin
Add restaurant profile,admin_add_restaurant,admin
Register restaurant profile,admin_add_restaurant,admin
Add new restaurant entry,admin_add_restaurant,admin
Add new restaurant,admin_add_restaurant,admin
Create restaurant,admin_add_restaurant,admin
New restaurant,admin_add_restaurant,admin
Add a restaurant,admin_add_restaurant,admin
Create new restaurant,admin_add_restaurant,admin
Add new food item,admin_add_food,admin
Create food item,admin_add_food,admin
New food item,admin_add_food,admin
Add a food item,admin_add_food,admin
Create new food,admin_add_food,admin
Register food item,admin_add_food,admin
Add food to menu,admin_add_food,admin
Create a food item,admin_add_food,admin
Add new dish,admin_add_food,admin
Register new food,admin_add_food,admin
Add food entry,admin_add_food,admin
Create food entry,admin_add_food,admin
Add new menu item,admin_add_food,admin
Register dish,admin_add_food,admin
Add new food product,admin_add_food,admin
Create food product,admin_add_food,admin
Add menu item,admin_add_food,admin
Register menu item,admin_add_food,admin
Add new food entry,admin_add_food,admin
Add new food item,admin_add_food,admin
Create food item,admin_add_food,admin
New food item,admin_add_food,admin
Add a food item,admin_add_food,admin
Create new food,admin_add_food,admin
Register food item,admin_add_food,admin
Add food to menu,admin_add_food,admin
Create a food item,admin_add_food,admin
Add new dish,admin_add_food,admin
Register new food,admin_add_food,admin
Add food entry,admin_add_food,admin
Create food entry,admin_add_food,admin
Add new menu item,admin_add_food,admin
Register dish,admin_add_food,admin
Add new food product,admin_add_food,admin
Create food product,admin_add_food,admin
Add menu item,admin_add_food,admin
Register menu item,admin_add_food,admin
Add new food entry,admin_add_food,admin
Add new food item,admin_add_food,admin
Create food item,admin_add_food,admin
New food item,admin_add_food,admin
Add a food item,admin_add_food,admin
Create new food,admin_add_food,admin
Register food item,admin_add_food,admin
Add food to menu,admin_add_food,admin
Create a food item,admin_add_food,admin
Add new dish,admin_add_food,admin
Register new food,admin_add_food,admin
Add food entry,admin_add_food,admin
Create food entry,admin_add_food,admin
Add new menu item,admin_add_food,admin
Register dish,admin_add_food,admin
Add new food product,admin_add_food,admin
Create food product,admin_add_food,admin
Add menu item,admin_add_food,admin
Register menu item,admin_add_food,admin
Add new food entry,admin_add_food,admin
Add new food item,admin_add_food,admin
Create food item,admin_add_food,admin
New food item,admin_add_food,admin
Add a food item,admin_add_food,admin
Create new food,admin_add_food,admin
Register food item,admin_add_food,admin
Add food to menu,admin_add_food,admin
Create a food item,admin_add_food,admin
Add new dish,admin_add_food,admin
Register new food,admin_add_food,admin
Add food entry,admin_add_food,admin
Create food entry,admin_add_food,admin
Add new menu item,admin_add_food,admin
Register dish,admin_add_food,admin
Add new food product,admin_add_food,admin
Create food product,admin_add_food,admin
Add menu item,admin_add_food,admin
Register menu item,admin_add_food,admin
Add new food entry,admin_add_food,admin
Add new food item,admin_add_food,admin
Create food item,admin_add_food,admin
New food item,admin_add_food,admin
Add a food item,admin_add_food,admin
Create new food,admin_add_food,admin
Register food item,admin_add_food,admin
Add food to menu,admin_add_food,admin
Create a food item,admin_add_food,admin
Add new dish,admin_add_food,admin
Register new food,admin_add_food,admin
Add food entry,admin_add_food,admin
Create food entry,admin_add_food,admin
Add new menu item,admin_add_food,admin
Register dish,admin_add_food,admin
Add new food product,admin_add_food,admin
Create food product,admin_add_food,admin
Add menu item,admin_add_food,admin
Register menu item,admin_add_food,admin
Add new food entry,admin_add_food,admin
Add new food item,admin_add_food,admin
Create food item,admin_add_food,admin
New food item,admin_add_food,admin
Add a food item,admin_add_food,admin
Create new food,admin_add_food,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete outlet,admin_delete_restaurant,admin
Remove food outlet,admin_delete_restaurant,admin
Delete establishment,admin_delete_restaurant,admin
Remove food establishment,admin_delete_restaurant,admin
Delete restaurant record,admin_delete_restaurant,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete outlet,admin_delete_restaurant,admin
Remove food outlet,admin_delete_restaurant,admin
Delete establishment,admin_delete_restaurant,admin
Remove food establishment,admin_delete_restaurant,admin
Delete restaurant record,admin_delete_restaurant,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete outlet,admin_delete_restaurant,admin
Remove food outlet,admin_delete_restaurant,admin
Delete establishment,admin_delete_restaurant,admin
Remove food establishment,admin_delete_restaurant,admin
Delete restaurant record,admin_delete_restaurant,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete outlet,admin_delete_restaurant,admin
Remove food outlet,admin_delete_restaurant,admin
Delete establishment,admin_delete_restaurant,admin
Remove food establishment,admin_delete_restaurant,admin
Delete restaurant record,admin_delete_restaurant,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete outlet,admin_delete_restaurant,admin
Remove food outlet,admin_delete_restaurant,admin
Delete establishment,admin_delete_restaurant,admin
Remove food establishment,admin_delete_restaurant,admin
Delete restaurant record,admin_delete_restaurant,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete outlet,admin_delete_restaurant,admin
Remove food outlet,admin_delete_restaurant,admin
Delete establishment,admin_delete_restaurant,admin
Remove food establishment,admin_delete_restaurant,admin
Delete restaurant record,admin_delete_restaurant,admin
Delete restaurant,admin_delete_restaurant,admin
Remove restaurant,admin_delete_restaurant,admin
Delete a restaurant,admin_delete_restaurant,admin
Remove a restaurant,admin_delete_restaurant,admin
Delete restaurant entry,admin_delete_restaurant,admin
Remove restaurant from system,admin_delete_restaurant,admin
Delete food place,admin_delete_restaurant,admin
Remove dining place,admin_delete_restaurant,admin
Delete restaurant profile,admin_delete_restaurant,admin
Remove restaurant entry,admin_delete_restaurant,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Remove menu item,admin_delete_food,admin
Delete food product,admin_delete_food,admin
Remove food product,admin_delete_food,admin
Delete food record,admin_delete_food,admin
Delete food item,admin_delete_food,admin
Remove food item,admin_delete_food,admin
Delete a food item,admin_delete_food,admin
Remove a food item,admin_delete_food,admin
Delete food entry,admin_delete_food,admin
Remove food from menu,admin_delete_food,admin
Delete dish,admin_delete_food,admin
Remove dish,admin_delete_food,admin
Delete menu item,admin_delete_food,admin
Update order status,admin_update_order_status,admin
Change order status,admin_update_order_status,admin
Modify order status,admin_update_order_status,admin
Update order state,admin_update_order_status,admin
Change order state,admin_update_order_status,admin
Modify order state,admin_update_order_status,admin
Update delivery status,admin_update_order_status,admin
Change delivery status,admin_update_order_status,admin
Update order progress,admin_update_order_status,admin
Change order progress,admin_update_order_status,admin
Mark order as delivered,admin_update_order_status,admin
Update order to delivered,admin_update_order_status,admin
Change status of order,admin_update_order_status,admin
Modify order delivery,admin_update_order_status,admin
Update order completion,admin_update_order_status,admin
Update order status,admin_update_order_status,admin
Change order status,admin_update_order_status,admin
Modify order status,admin_update_order_status,admin
Update order state,admin_update_order_status,admin
Change order state,admin_update_order_status,admin
Modify order state,admin_update_order_status,admin
Update delivery status,admin_update_order_status,admin
Change delivery status,admin_update_order_status,admin
Update order progress,admin_update_order_status,admin
Change order progress,admin_update_order_status,admin
Mark order as delivered,admin_update_order_status,admin
Update order to delivered,admin_update_order_status,admin
Change status of order,admin_update_order_status,admin
Modify order delivery,admin_update_order_status,admin
Update order completion,admin_update_order_status,admin
Update order status,admin_update_order_status,admin
Change order status,admin_update_order_status,admin
Modify order status,admin_update_order_status,admin
Update order state,admin_update_order_status,admin
Change order state,admin_update_order_status,admin
Modify order state,admin_update_order_status,admin
Update delivery status,admin_update_order_status,admin
Change delivery status,admin_update_order_status,admin
Update order progress,admin_update_order_status,admin
Change order progress,admin_update_order_status,admin
Mark order as delivered,admin_update_order_status,admin
Update order to delivered,admin_update_order_status,admin
Change status of order,admin_update_order_status,admin
Modify order delivery,admin_update_order_status,admin
Update order completion,admin_update_order_status,admin
Update order status,admin_update_order_status,admin
